Names	switch_no_tresh	switch_with_tresh	mean_no_tresh	mean_with_tresh	vari_no_tresh	vari_with_tresh	devi_no_tresh	devi_with_tresh
917255_rfMRI_REST1	0.2534736842105263	0.05052631578947368	0.020202020202020204	0.8678451178451179	0.9995918783797572	0.24684485143239357	0.9997959183652217	0.4968348331512129
213522_rfMRI_REST1	0.24926315789473685	0.09726315789473684	0.01430976430976431	0.7239057239057239	0.999795230645399	0.47596050289652997	0.9998976100808518	0.6898989077368727
198855_rfMRI_REST2	0.25473684210526315	0.10568421052631578	0.021885521885521887	0.6632996632996633	0.9995210239317983	0.5600335566665532	0.99976048328177	0.7483538980098609
180533_rfMRI_REST1	0.2488421052631579	0.10273684210526315	-0.012626262626262626	0.7323232323232324	0.9998405774920924	0.463702683399653	0.9999202855688509	0.6809571817667047
349244_rfMRI_REST2	0.2522105263157895	0.08884210526315789	-0.020202020202020204	0.7542087542087542	0.9995918783797572	0.43116915507487896	0.9997959183652217	0.6566347196690706
979984_rfMRI_REST1	0.24210526315789474	0.08210526315789474	0.02861952861952862	0.7609427609427609	0.9991809225815962	0.42096611456880806	0.999590377395459	0.6488190152645097
613235_rfMRI_REST1	0.2501052631578947	0.03915789473684211	0.01430976430976431	0.9006734006734006	0.9997952306453988	0.18878742531941184	0.9998976100808517	0.43449674949234296
211417_rfMRI_REST1	0.2538947368421053	0.032842105263157895	0.01430976430976431	0.9234006734006734	0.9997952306453985	0.14733119636318284	0.9998976100808515	0.38383746086485987
209228_rfMRI_REST1	0.24421052631578946	0.05726315789473684	-0.04292929292929293	0.8459595959595959	0.9981570758085907	0.2843523620038772	0.999078112966444	0.5332469990575448
623137_rfMRI_REST1	0.2463157894736842	0.03831578947368421	0.0	0.9057239057239057	1.0	0.17966420660023352	1.0	0.42386814765942665
